TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2017,9.534,0.33476,164.56,0.334874,315.048,0.334817,3.537,0.194578,88.494,0.332249,1693.604,0.235388,3.513,0.107021,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.98902,0.329281,39.9602,0.0,-9999,-9999,-3.29938,0.0,-9999,-9999,193.293,0.0,-9999,160.078,195.588,295.914,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2018,9.224,0.995263,157.276,0.995605,321.319,0.996176,3.122,0.725799,88.6,0.988756,3061.203,0.684532,3.717,0.719977,0.6335363345516721,0.671689497716895,92.81343528704052,0.9894406392694065,318.9242015960307,0.9844178082191781,21.229858501028858,0.984474885844749,66.99565011509252,0.9853310502283106,21.78601182249769,0.9896689497716894,364.17842804374146,0.9896118721461188,422.155,0.830936,10.213,10.105,10.1,10.283,10.098,10.212,10.114,10.084,-9999,0.998516,0.998516,0.998516,0.998516,0.998459,0.998402,0.95411,0.95411,-9999,30.124,25.854,13.968,14.825,17.883,32.897,34.659,31.88,0.0148402,0.0149543,0.0151826,0.0148973,0.0148973,0.000228311,0.0149543,0.000114155,0.133994,0.991724,39.946,0.0,51.1489,-9999,23.4257,0.503368,29.9955,0.271528,193.385,0.0,-9999,160.211,195.661,296.114,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2019,9.89,0.993893,168.813,0.993664,317.793,0.994349,3.993,0.845377,88.533,0.984989,1161.033,0.723116,3.588,0.745548,0.630497376608448,0.7031963470319635,93.99199771681087,0.9897260273972602,340.16363603237977,0.9264269406392696,18.698165436222165,0.9264840182648401,71.06275095699235,0.989783105022831,21.920023473653814,0.9899543378995435,370.4725761418061,0.9899543378995435,425.339,0.877511,10.335,10.161,10.143,10.54,10.045,10.098,9.981,10.015,-9999,0.971119,0.971119,0.971062,0.739326,0.971062,0.971062,0.985388,0.985388,-9999,38.68,28.475,17.303,17.357,13.607,14.472,27.633,31.761,0.333105,0.798744,0.592637,0.79121,0.596689,0.615925,0.81855,0.085274,1.00603,0.938813,44.9042,0.622774,57.4977,0.24213,33.0458,0.964498,42.3136,0.226478,-94.1726,0.463071,8.1948,-122.187,-83.1928,-29.1227,0.465411,0.461016,0.438984,1101.26,1101.26,1139.08,1264.15,1188.3,1202.56,1229.85,1289.44,1028.24,1026.01,1067.03,1109.84,1122.09,1106.99,1122.09,1153.98,-9999,-9999
2020,9.468,0.997439,159.62,0.997495,322.748,0.997382,3.696,0.763832,88.53,0.9926,2078.537,0.719888,3.703,0.789162,0.6372346215254615,0.7493169398907104,83.62974055729461,0.9689207650273224,325.7772897169341,0.9949339708561019,18.80060801909543,0.9950478142076503,69.33662327679093,0.9953893442622951,21.29756131063986,0.9752390710382514,379.4037304420975,0.9692053734061932,422.922,0.837546,10.27,10.106,10.127,10.062,10.269,10.075,10.073,-9999,-9999,0.998122,0.998065,0.998122,0.998122,0.725182,0.998065,0.998122,-9999,-9999,39.197,30.054,17.073,19.099,18.327,17.255,33.702,31.608,0.246528,0.98799,0.0153689,0.980874,0.14219,0.414959,0.957309,0.00119536,0.628898,0.992486,32.2946,0.906079,41.3516,0.214016,31.6384,0.912227,40.5115,0.236922,65.7084,0.785178,7.62771,36.6856,43.8627,56.0739,0.79827,0.794968,0.703495,1080.33,1041.61,1061.83,1100.44,1011.66,997.394,1011.93,1039.75,1201.8,1201.29,1304.17,1472.0,1085.03,1022.12,1065.38,1162.71,-9999,-9999
2021,9.818,0.980822,169.082,0.981279,313.39,0.98145,3.795,0.861701,88.536,0.971861,1218.431,0.803425,3.523,0.638356,0.664197190652756,0.6141552511415524,92.57780887439152,0.9732876712328767,338.0596131583724,0.8643264840182647,21.65536848387784,0.9736872146118721,71.66203138010064,0.9740296803652968,24.303706502469847,0.973744292237443,365.4526272208585,0.9738584474885846,419.236,0.904737,10.105,9.873,9.881,11.202,9.697,9.719,9.711,-9999,-9999,0.982477,0.98242,0.982477,0.440525,0.98242,0.979509,0.97968,-9999,-9999,31.107,26.797,13.264,14.238,-9999,20.618,25.256,-9999,0.391381,0.966267,0.316039,0.960616,-9999,0.759361,0.965982,-9999,0.133082,0.981279,30.3061,0.725913,44.7227,0.136815,33.2237,0.786301,49.0282,0.222379,487.009,0.503596,3.4975,412.11,570.61,616.045,0.50645,0.493493,0.488185,1099.22,1036.61,1155.61,1181.92,640.906,547.159,604.002,641.376,1190.41,1156.19,1251.46,1315.92,907.045,617.412,645.919,813.404,-9999,-9999
