TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2017,20.462,0.805479,194.798,0.805765,368.764,0.805194,8.088,0.805365,100.482,0.794235,834.837,0.838927,2.767,0.682534,0.3062946503285082,0.6710616438356164,123.06280082831783,0.7948630136986301,435.90468947644507,0.7501712328767123,19.254806694743067,0.7500570776255708,73.70150188149654,0.7955479452054794,24.810645923709593,0.7952625570776255,432.7517111831163,0.7952625570776255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.09545,0.709132,35.4442,0.163071,-9999,0.279528,15.8417,0.269463,-9999,0.308441,-37.343,0.120833,11.1581,-109.944,-79.0584,-38.0341,0.127568,0.121062,0.120833,1474.59,1167.65,1439.52,1477.54,1539.82,1294.62,1503.62,1527.81,1185.86,1192.92,1197.85,1202.59,1991.0,1981.7,1996.91,1998.87,-9999,-9999
2018,19.6,0.953082,191.782,0.903881,368.084,0.902226,7.987,0.938185,100.994,0.888699,1628.882,1.0,2.749,0.88847,0.33714075041171254,0.8614155251141553,113.50589180672306,0.8924086757990868,415.58867954896124,0.8678652968036529,19.223438964756987,0.8678082191780822,76.15457423807003,0.8940639269406392,23.614886098199953,0.8942351598173517,427.7604540023376,0.8925799086757992,422.339,0.864441,19.867,19.931,20.035,19.799,19.907,20.028,19.808,19.884,19.964,0.900628,0.901199,0.903025,0.90097,0.900228,0.900114,0.900799,0.901256,0.903082,17.826,16.236,14.798,14.859,6.368,6.112,-9999,5.71,0.000228311,0.000114155,5.70776e-05,5.70776e-05,0.000114155,0.000114155,-9999,5.70776e-05,0.24074,0.871461,63.3933,0.552683,71.6491,0.326205,30.443,0.91661,34.4076,0.193463,-56.0441,0.349943,15.4247,-232.688,-161.253,-43.2274,0.374543,0.383847,0.40468,2012.75,2015.54,2038.8,2105.96,2113.2,2085.79,2247.34,2271.0,1909.63,1807.02,1909.63,1986.04,2058.78,1951.61,2008.43,2057.87,-9999,-9999
2019,20.615,0.996233,202.343,0.995833,375.378,0.996176,9.045,0.996119,101.168,0.982705,1136.843,1.0,2.776,0.708162,0.3597338757700538,0.6945205479452055,126.35460459292986,0.9903538812785389,406.53094903582956,0.9475456621004565,20.919311086582347,0.9522260273972603,73.2828146596379,0.9906392694063927,24.634444277526537,0.990810502283105,431.68180239279707,0.990810502283105,423.621,0.904795,20.948,21.061,21.074,20.848,20.911,21.006,20.738,20.691,20.664,0.997146,0.997146,0.997146,0.997146,0.997089,0.996975,0.997032,0.997032,0.996861,24.859,20.394,18.747,17.772,6.459,6.009,-9999,5.657,0.679338,0.671804,0.668265,0.67032,0.66153,0.659304,-9999,0.669692,-0.300909,0.944064,64.8935,0.301484,73.3447,0.375416,31.8523,0.554053,36.0005,0.242034,206.461,0.254623,9.29424,158.521,176.05,216.365,0.25742,0.249486,0.254053,1523.72,1523.23,1538.36,1625.94,1383.06,1348.25,1365.42,1417.81,1994.31,1803.35,1991.41,2090.62,1978.89,1868.48,1958.26,2091.84,-9999,-9999
2020,20.259,0.996414,194.902,0.996129,370.236,0.9963,7.583,0.996357,101.174,0.990494,1423.989,1.0,2.997,0.932605,0.3595206272169875,0.912568306010929,110.35392841882859,0.9918032786885246,395.8543852868624,0.9918032786885246,19.819917659778042,0.9919171220400728,72.01503772385584,0.9669285063752278,24.012976954080724,0.9922017304189437,429.65965064255766,0.9922586520947178,426.378,0.940858,20.35,20.47,20.529,20.328,20.469,20.667,20.455,20.497,20.547,0.997552,0.997552,0.997552,0.997552,0.997552,0.997495,0.997552,0.997552,0.997495,28.118,25.003,23.337,21.282,6.068,7.232,9.176,7.484,0.966929,0.978825,0.986908,0.98651,0.978996,0.978882,0.962147,0.978939,-0.86699,0.993966,69.6408,0.986339,78.7102,0.290665,28.6539,0.989128,32.3855,0.207751,37.8485,0.764629,10.2545,26.9106,33.8954,45.6793,0.774078,0.774875,0.764401,1996.59,1974.7,1988.44,2003.46,1947.21,1940.61,1956.25,1974.36,1795.82,1768.39,1800.15,1920.22,1955.14,1919.49,1944.05,1992.4,-9999,-9999
2021,19.693,0.996632,190.82,0.996005,368.697,0.996632,7.084,0.996347,101.218,0.985388,1479.372,0.999429,2.79,0.774258,0.36421555614215395,0.7393835616438356,112.63122054258615,0.9868721461187215,394.678781571735,0.9875570776255709,18.93625794658791,0.9810502283105024,72.37041857649548,0.9877853881278539,23.016858482868795,0.9876712328767123,426.73733600377085,0.9876141552511416,430.431,0.897146,19.86,19.991,20.081,19.867,20.011,20.208,19.995,20.049,20.141,0.997317,0.99726,0.99726,0.997203,0.997203,0.996975,0.969178,0.968836,0.969007,11.911,9.819,9.679,7.673,3.818,5.179,10.474,12.127,0.979395,0.9746,0.986872,0.985616,0.972774,0.951313,0.965068,0.959532,-0.0469478,0.995377,59.191,0.944178,68.5782,0.282985,36.0995,0.953995,41.8246,0.23761,80.7252,0.806164,10.9174,77.785,93.5204,129.344,0.800114,0.812785,0.81113,2384.21,2278.91,2345.13,2396.02,2258.82,2201.93,2253.47,2271.3,2127.39,2011.95,2070.84,2143.15,2121.54,2110.73,2155.45,2197.54,-9999,-9999
