TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170111,9.443,0.0,200.748,22.477,0.0,356.219,0.0,3.64,0.0,95.525,0.0,3.071,0.0,3.033,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,4.60084,4.47363,4.58439,4.6077,6.17474,5.90898,6.17474,6.67912,1.7768,1.7407,1.75008,3.48159,0.890114,0.879029,0.891888,1.39621,-9999,-9999
20170112,14.871,0.0,201.921,65.595,0.0,371.029,0.0,5.431,0.0,95.712,0.0,0.078,0.0,3.267,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,5.37934,5.37755,5.38058,5.41363,7.18071,7.03527,7.18864,7.35948,1.92604,1.8869,1.89706,3.77401,2.2011,2.17954,2.20198,2.98622,-9999,-9999
20170113,13.807,0.0,203.147,24.361,0.0,373.449,0.0,3.439,0.0,96.329,0.0,3.092,0.0,1.515,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,5.22987,5.22267,5.22989,5.23129,7.28236,7.09349,7.26382,7.55344,1.89873,1.86015,1.87017,3.7205,0.961826,0.949907,0.963707,1.50231,-9999,-9999
20170114,13.328,0.0,204.425,74.166,0.0,358.755,0.0,3.965,0.0,96.223,0.0,0.81,0.0,1.903,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,5.1579,5.1401,5.15795,5.16165,6.7296,6.61871,6.73177,7.23585,1.88367,1.84539,1.85533,3.69099,2.38725,2.3651,2.38747,3.16643,-9999,-9999
20170115,13.729,0.0,205.755,59.443,0.0,362.786,0.0,3.914,0.0,95.82,0.0,3.573,0.0,1.492,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,5.21795,5.20916,5.21798,5.21973,7.02,6.85421,7.01683,7.1999,1.89619,1.85766,1.86766,3.71551,2.00259,1.98281,2.00348,2.73088,-9999,-9999
20170116,12.382,0.0,207.137,100.343,0.0,340.806,0.0,4.312,0.0,95.684,0.0,0.072,0.0,1.388,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,5.02404,4.97765,5.02418,5.03355,7.07731,6.84292,7.04275,7.34772,1.85882,1.82105,1.83086,3.6423,2.95891,2.93485,2.95716,3.71744,-9999,-9999
20170117,14.994,0.0,208.568,62.021,0.0,369.444,0.0,5.017,0.0,95.246,0.0,3.904,0.0,3.235,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,5.39675,5.39468,5.39817,5.43628,6.96749,6.89338,7.07052,7.47258,1.92917,1.88997,1.90015,3.78015,2.12183,2.10042,2.12304,2.9221,-9999,-9999
20170118,12.518,0.0,210.049,124.012,0.0,321.011,0.0,4.977,0.0,95.191,0.0,3.085,0.0,1.871,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,5.04534,5.00111,5.04547,5.05433,6.8481,6.64913,6.83361,7.02937,1.86364,1.82578,1.83561,3.65175,3.44244,3.41714,3.4388,4.1671,-9999,-9999
20170119,10.88,0.0,211.58,48.024,0.0,338.135,0.0,4.733,0.0,94.829,0.0,1.948,0.0,1.071,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,4.80796,4.72032,4.80823,4.82599,6.86207,6.52579,6.78542,7.13177,1.81692,1.78,1.78959,3.5602,1.7091,1.69072,1.71076,2.44487,-9999,-9999
20170120,13.301,0.0,213.159,95.011,0.0,352.013,0.0,4.745,0.0,94.245,0.0,3.998,0.0,2.252,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,5.1555,5.13537,5.15556,5.15964,6.72724,6.61464,6.72964,7.23345,1.88388,1.8456,1.85555,3.69141,2.85268,2.82877,2.85142,3.6257,-9999,-9999
