TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2017,21.539,0.892066,203.331,0.892066,375.788,0.891952,7.294,0.892066,101.145,0.859132,1895.083,0.915639,2.925,0.750799,0.36990363186857106,0.7347031963470319,124.87637718069477,0.8822488584474887,432.41517241140474,0.8678082191780822,24.709020633621847,0.8679794520547945,72.79668081669503,0.5597602739726028,25.41927707457462,0.883447488584475,438.0778718101262,0.882933789954338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.100144,0.816096,77.4346,0.0,-9999,-9999,47.0162,0.544692,-9999,0.337146,-98.0886,0.0,-9999,-112.413,-108.539,-80.915,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2018,20.828,0.998174,194.867,0.998288,375.596,0.998059,6.201,0.995491,101.407,0.991438,1980.239,1.0,2.849,0.933048,0.36670482768104146,0.9132990867579908,113.8347815768427,0.9939497716894976,420.4858114576528,0.8287100456621004,23.721272047935475,0.8287100456621004,70.79349632400267,0.9466894977168949,23.942353045041102,0.9944063926940641,435.6661372560153,0.9944063926940641,437.372,0.867237,22.954,22.71,22.612,22.958,23.088,22.985,23.217,23.42,23.43,0.998573,0.998573,0.998573,0.998573,0.998459,0.998516,0.998573,0.998573,0.998573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.847577,0.990925,77.4358,0.0,90.3828,-9999,41.8169,0.6121,48.8085,0.249419,-98.435,0.0,-9999,-112.818,-108.957,-81.3208,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2019,21.56,0.994121,202.006,0.994178,378.656,0.992922,7.546,0.992637,101.168,0.942865,1079.127,1.0,2.933,0.934932,0.38382730881450244,0.9240296803652969,118.77281595062357,0.9532534246575343,422.7616317511294,0.9157534246575343,23.397670521413687,0.9156963470319636,75.57497704959498,0.9456621004566209,24.468794304934693,0.9534246575342465,440.03511479092964,0.9534246575342465,443.446,0.383333,24.19,23.954,23.814,24.146,24.076,23.858,24.036,24.042,23.931,0.994292,0.994292,0.994349,0.994292,0.994349,0.994349,0.994349,0.994349,0.994349,16.209,16.551,16.684,31.1,31.185,32.41,-9999,-9999,0.771404,0.766267,0.762215,0.7371,0.746975,0.717808,-9999,-9999,-0.25469,0.9871,66.7523,0.307991,77.913,0.35925,48.7319,0.341952,56.8797,0.29726,-29.0824,0.253253,10.9464,-38.5333,-33.4361,-18.281,0.248174,0.253653,0.254566,1429.31,1429.03,1439.04,1446.48,1467.6,1463.02,1467.6,1483.86,969.925,844.061,894.407,926.175,1225.06,1162.06,1191.02,1215.87,-9999,-9999
2020,21.765,0.998691,192.422,0.998065,381.004,0.998577,6.754,0.998406,101.184,0.990722,1118.998,1.0,2.913,0.951389,0.3827685081886382,0.9404030054644809,111.80655340963571,0.9937386156648451,395.15577340694443,0.7906420765027322,22.92605232135293,0.9937955373406192,72.60547575984613,0.9940232240437158,23.609524075833868,0.9939663023679416,441.6053235774157,0.9939663023679416,425.341,0.806466,23.902,23.638,23.512,23.874,23.903,23.757,24.003,24.159,24.093,0.998634,0.998634,0.998691,0.998634,0.998691,0.998691,0.99852,0.998577,0.998577,19.223,17.765,17.549,33.411,33.007,34.23,-9999,-9999,0.942111,0.933629,0.932605,0.890084,0.898736,0.870162,-9999,-9999,-0.851381,0.993112,56.152,0.885018,65.5404,0.272412,40.4683,0.942623,47.2345,0.196846,-76.5149,0.684768,5.41616,-72.0512,-68.8531,-67.0751,0.682377,0.689777,0.690232,1466.73,1465.36,1477.84,1512.94,1536.87,1532.54,1544.46,1603.9,1502.5,1488.03,1512.45,1563.3,1590.78,1579.28,1597.18,1626.39,-9999,-9999
2021,20.983,0.991553,190.44,0.99121,375.562,0.989155,6.647,0.862557,101.221,0.946632,1500.827,1.0,2.776,0.900342,0.356135669687711,0.880365296803653,111.70526381794797,0.958447488584475,382.2441253580699,0.9578196347031964,17.374569073914774,0.5594748858447488,74.03645025586837,0.9737442922374429,21.77174807496621,0.9643264840182649,433.8225692099466,0.9591324200913242,427.813,0.780936,23.373,23.118,22.998,23.366,23.353,23.179,23.412,23.585,23.546,0.989612,0.989555,0.989669,0.989726,0.989726,0.989726,0.990811,0.990811,0.990982,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0278518,0.886644,45.3157,0.929566,58.7537,0.204554,40.9548,0.952568,53.0997,0.212004,-95.2035,0.687443,4.85871,-103.22,-89.4518,-84.8138,0.687614,0.691838,0.690582,1405.14,1373.96,1401.37,1408.15,1485.85,1469.46,1486.3,1498.51,1218.32,1212.79,1236.21,1255.42,1310.95,1306.95,1321.92,1332.52,-9999,-9999
