TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2017,13.96,0.417865,177.49,0.417694,329.984,0.417865,6.887,0.417865,97.717,0.412386,1088.461,0.419863,3.968,0.391096,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.05032,0.413642,93.2688,0.278368,113.028,0.426786,20.1941,0.357591,24.4722,0.275278,-448.274,0.170605,19.2356,-545.788,-447.333,-420.197,0.169007,0.170662,0.169578,2039.87,2024.47,2298.16,2304.23,2704.61,2570.24,2704.78,2733.68,1195.35,832.436,1140.83,1385.83,1953.54,1903.47,2107.8,2221.68,-9999,-9999
2018,12.857,0.998174,170.397,0.998288,330.028,0.998059,6.982,0.998116,97.852,0.910217,746.257,1.0,3.994,0.839155,0.4512010338429408,0.8259132420091324,90.77932719084433,0.988013698630137,352.36059114045275,0.9879566210045662,20.283645814352518,0.9877853881278538,62.70784494321657,0.9920662100456622,26.124924804176835,0.9884703196347032,381.93317917958996,0.9884703196347032,417.909,0.911187,13.119,13.104,13.089,13.175,13.184,13.371,13.17,13.213,0.99903,0.99903,0.99903,0.998973,0.998973,0.998916,0.99903,0.998973,-9999,-9999,35.887,-9999,37.1,34.668,35.972,31.64,-9999,-9999,0.000171233,-9999,0.000171233,0.000285388,0.000285388,0.000513699,-0.359719,0.902854,39.6196,0.314783,48.0129,0.253553,25.3684,0.448402,30.7427,0.29758,-88.4633,0.264326,7.5448,-90.8629,-87.277,-55.2832,0.264441,0.263813,0.265354,1617.94,1502.44,1563.88,1625.05,1600.73,1480.1,1618.01,1713.41,745.678,454.913,751.136,858.135,1289.79,1121.35,1308.51,1382.18,-9999,-9999
2019,12.424,0.970491,170.545,0.97089,330.735,0.970148,5.875,0.960559,97.816,0.988984,1191.199,0.891781,3.976,0.710902,0.4905518117502213,0.6953196347031964,89.09858049242814,0.9309931506849315,349.9151711490859,0.8753424657534247,20.92361232286186,0.875,66.30850458600099,0.9570205479452055,25.74036684782841,0.9341324200913244,382.43268508032304,0.9342465753424658,420.532,0.89903,12.895,12.984,13.007,13.089,12.996,13.317,13.06,13.141,0.998288,0.998288,0.998288,0.998288,0.998231,0.998231,0.998002,0.998174,38.465,-9999,33.713,37.062,38.176,36.873,37.321,35.602,0.650856,-9999,0.68653,0.0,0.540925,0.708847,5.70776e-05,5.70776e-05,0.194086,0.984874,55.1428,0.798174,66.8248,0.228155,21.8486,0.801027,26.4772,0.226061,-162.637,0.649201,7.19547,-183.001,-176.048,-162.814,0.641153,0.652797,0.646005,1422.65,1410.49,1415.86,1436.76,1592.64,1577.5,1594.24,1614.44,1427.23,1391.21,1422.47,1452.62,1443.74,1416.71,1441.66,1616.61,-9999,-9999
2020,13.065,0.983834,172.618,0.983834,328.543,0.915357,6.481,0.983777,97.81,0.984688,847.071,1.0,3.92,0.845571,0.45185646232627574,0.8276411657559197,94.58519904675508,0.8799521857923497,355.17349444923565,0.9756944444444443,19.93191652406949,0.9757513661202186,62.86965359185161,0.9717099271402551,26.900900343579917,0.8801798724954464,395.4826634192586,0.8802367941712205,422.797,0.876821,13.401,13.441,13.525,13.566,13.159,13.615,13.46,13.564,0.999317,0.999317,0.999317,0.999317,0.999317,0.999317,0.999146,0.99926,39.653,-9999,32.052,39.286,37.808,36.112,39.578,39.847,0.399078,-9999,0.765938,0.0124658,0.343693,0.833959,0.229679,0.202926,0.250783,0.827641,48.0306,0.839367,59.2693,0.214275,21.7298,0.853882,26.8143,0.233576,-368.947,0.668716,8.58824,-379.282,-370.025,-340.49,0.66439,0.668488,0.677937,1552.75,1506.06,1531.89,1545.76,1876.38,1855.16,1904.61,1925.29,1459.98,1377.93,1471.58,1542.18,1867.03,1698.04,1867.28,1901.49,-9999,-9999
2021,13.566,0.992979,174.411,0.993322,330.216,0.992979,6.675,0.970605,97.779,0.980936,1068.364,0.928995,3.95,0.858904,0.45222228681617255,0.8343607305936074,89.64568416858727,0.9823630136986301,373.713871279019,0.5273401826484019,22.498735406121376,0.9474315068493151,64.459782712273,0.9828196347031962,26.1490906816747,0.9827054794520548,387.9266049947692,0.9827054794520548,425.863,0.940068,13.817,13.831,13.864,13.868,13.506,13.731,13.675,13.784,0.995662,0.995662,0.995662,0.995662,0.995662,0.995605,0.995491,0.995434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.228151,0.98379,49.2056,0.951884,60.7192,0.209888,18.5165,0.983904,22.8492,0.212109,-33.7373,0.835731,6.37426,-40.877,-25.051,45.0819,0.825114,0.83145,0.860331,1532.59,1525.32,1551.5,1581.09,1558.36,1538.79,1562.23,1574.09,1576.61,1395.76,1570.74,1613.35,1624.81,1560.12,1614.63,1649.3,-9999,-9999
