TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2017,18.592,0.326541,186.625,0.326712,360.305,0.326541,7.286,0.326541,99.795,0.322717,1182.432,0.334932,3.193,0.161301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.90272,0.265411,100.249,0.196233,128.421,0.537105,24.3514,0.197546,31.1945,0.46685,96.0715,0.0603881,-9999,91.5117,120.475,140.695,0.0482877,0.0613014,0.0613014,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2018,17.91,0.987272,186.804,0.986644,360.128,0.987272,6.881,0.986929,100.036,0.967352,1681.547,0.473288,3.305,0.713984,0.37205236576749384,0.6885844748858447,114.88879187358266,0.9709474885844749,394.3977340323705,0.9363584474885844,16.39755699417085,0.9364155251141552,66.21089647697573,0.9682077625570777,21.098329141578414,0.9711757990867579,414.7220861125174,0.9712328767123287,427.589,0.873916,18.788,18.867,18.684,18.496,18.376,18.156,17.401,17.061,-9999,0.987386,0.987386,0.987386,0.987443,0.987443,0.987386,0.987386,0.987443,-9999,15.635,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0216324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.0808,0.429966,61.6878,0.820491,79.0229,0.318066,24.3045,0.848288,31.1343,0.238778,247.08,0.630765,12.9144,267.029,293.201,314.023,0.598459,0.60274,0.587043,2055.21,2295.27,2423.71,2468.02,2081.68,2002.38,2115.59,2151.72,1858.33,1621.03,1726.89,1854.79,1794.78,1715.63,1776.15,1863.24,-9999,-9999
2019,18.515,0.998744,191.518,0.998116,359.9,0.998744,8.155,0.998744,99.761,0.949543,1513.359,0.943151,3.313,0.686473,0.3529005183150485,0.6654109589041095,110.57060896003665,0.9945205479452055,399.5415875764626,0.9781392694063928,17.4954156752466,0.9561643835616438,69.45185193870628,0.9942351598173516,22.901293710366563,0.994634703196347,421.4300291751817,0.994634703196347,430.659,0.540925,18.957,18.916,18.723,18.512,18.397,18.177,17.477,17.016,-9999,0.9996,0.9996,0.9996,0.9996,0.9996,0.999372,0.998345,0.999486,-9999,19.379,9.216,19.415,-9999,7.237,-9999,-9999,-9999,0.731279,0.720205,0.720662,-9999,0.719521,-9999,-9999,-9999,-0.430283,0.982991,60.9228,0.767637,78.043,0.36621,26.3727,0.775285,33.7837,0.242793,94.9362,0.511416,11.2103,61.1496,103.188,115.913,0.390753,0.499943,0.435502,2010.91,2103.97,2171.34,2236.75,2084.71,2013.59,2071.1,2130.6,1670.72,1340.57,1923.69,2272.99,1882.76,1772.94,1960.61,2532.9,-9999,-9999
2020,18.225,0.97985,184.062,0.980077,364.567,0.97985,6.641,0.979736,99.775,0.967782,1700.879,0.981785,3.328,0.907787,0.3722367522388135,0.8801798724954464,113.59416428618816,0.9372723132969035,382.9633782623865,0.971766848816029,15.506977665531737,0.9715960837887067,65.36910934842183,0.9720514571948999,21.016746404972142,0.9719376138433514,421.70352921138544,0.9719376138433514,424.043,0.957992,18.51,18.649,18.761,18.581,18.544,18.474,17.745,17.318,-9999,0.981273,0.98133,0.98133,0.981159,0.981216,0.981273,0.98133,0.98133,-9999,18.448,10.035,20.541,17.814,8.665,23.006,-9999,19.518,0.615836,0.596482,0.615779,0.103142,0.615494,0.508481,-9999,0.0,-0.363397,0.977516,61.0503,0.952641,82.8549,0.298702,20.3412,0.953609,27.6062,0.213988,65.2749,0.861453,7.82463,55.0135,76.4428,102.632,0.710781,0.825706,0.784836,1977.88,2004.35,2049.2,2128.66,2039.88,1945.29,1982.29,2029.36,1754.13,1660.31,1765.76,1863.6,1897.13,1823.78,1879.96,1931.96,-9999,-9999
2021,17.94,0.988413,184.625,0.989098,361.54,0.987443,6.601,0.988128,99.812,0.965753,1341.332,0.917409,3.262,0.765639,0.3738031146686209,0.7425228310502284,-9999,-9999,383.2952472871822,0.8725456621004567,16.44295670088446,0.9591894977168949,68.18829330342234,0.9656963470319635,21.72596158437941,0.967865296803653,416.6289343206357,0.9679794520547945,426.377,0.973116,17.868,17.946,18.278,18.163,18.141,18.095,17.401,17.037,-9999,0.988756,0.988756,0.988756,0.988756,0.988756,0.989555,0.988756,0.990011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.814326,0.986986,51.934,0.777454,70.4826,0.251135,23.5341,0.803139,31.9395,0.226283,45.74,0.706621,7.57693,9.46548,45.74,61.2752,0.716096,0.706621,0.630879,2020.16,2148.9,2174.55,2242.07,2096.35,2090.48,2128.19,2231.33,1705.64,1580.52,1833.61,2163.48,1758.3,1707.84,1829.32,1968.62,-9999,-9999
