# Citation information for the selected data product for each site selected.
# Newly published BASE and FLUXNET data products may not yet have a DOI for citation. Check the site's AmeriFlux Site Info webpage in a few days.
# Read more information about citing AmeriFlux data at the Data Policy webpage: https://ameriflux.lbl.gov/data/data-policy
# Citation information can also be acquired by making a Site Set (https://ameriflux.lbl.gov/sites/site-sets/) for your downloaded sites and use the "Download for Set: DOIs as ASCII" feature to acquire a list of DOI citations.
# Citation information can also be found on each site's AmeriFlux Site Info webpage. Access Site Info pages via Site Search: https://ameriflux.lbl.gov/sites/site-search/
site_id,author,title,publication_year,publisher,doi,doi_url,citation
"US-xKZ","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xKZ NEON Konza Prairie Biological Station (KONZ), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985445","http://doi.org/10.17190/AMF/1985445","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xKZ NEON Konza Prairie Biological Station (KONZ), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985445"
"US-xMB","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xMB NEON Moab (MOAB), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985446","http://doi.org/10.17190/AMF/1985446","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xMB NEON Moab (MOAB), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985446"
"US-xML","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xML NEON Mountain Lake Biological Station (MLBS), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985447","http://doi.org/10.17190/AMF/1985447","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xML NEON Mountain Lake Biological Station (MLBS), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985447"
"US-xNG","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xNG NEON Northern Great Plains Research Laboratory (NOGP), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985448","http://doi.org/10.17190/AMF/1985448","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xNG NEON Northern Great Plains Research Laboratory (NOGP), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985448"
"US-xNQ","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xNQ NEON Onaqui-Ault (ONAQ), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985449","http://doi.org/10.17190/AMF/1985449","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xNQ NEON Onaqui-Ault (ONAQ), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985449"
"US-xRM","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xRM NEON Rocky Mountain National Park, CASTNET (RMNP), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985450","http://doi.org/10.17190/AMF/1985450","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xRM NEON Rocky Mountain National Park, CASTNET (RMNP), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985450"
"US-xSB","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xSB NEON Ordway-Swisher Biological Station (OSBS), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985451","http://doi.org/10.17190/AMF/1985451","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xSB NEON Ordway-Swisher Biological Station (OSBS), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985451"
"US-xSE","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xSE NEON Smithsonian Environmental Research Center (SERC), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985452","http://doi.org/10.17190/AMF/1985452","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xSE NEON Smithsonian Environmental Research Center (SERC), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985452"
"US-xSR","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xSR NEON Santa Rita Experimental Range (SRER), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985453","http://doi.org/10.17190/AMF/1985453","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xSR NEON Santa Rita Experimental Range (SRER), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985453"
"US-xST","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xST NEON Steigerwaldt Land Services (STEI), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985454","http://doi.org/10.17190/AMF/1985454","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xST NEON Steigerwaldt Land Services (STEI), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985454"
"US-xTA","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xTA NEON Talladega National Forest (TALL), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985455","http://doi.org/10.17190/AMF/1985455","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xTA NEON Talladega National Forest (TALL), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985455"
"US-xTR","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xTR NEON Treehaven (TREE), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985456","http://doi.org/10.17190/AMF/1985456","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xTR NEON Treehaven (TREE), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985456"
"US-xUK","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xUK NEON The University of Kansas Field Station (UKFS), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985457","http://doi.org/10.17190/AMF/1985457","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xUK NEON The University of Kansas Field Station (UKFS), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985457"
"US-xUN","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xUN NEON University of Notre Dame Environmental Research Center (UNDE), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985458","http://doi.org/10.17190/AMF/1985458","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xUN NEON University of Notre Dame Environmental Research Center (UNDE), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985458"
"US-xYE","NEON (National Ecological Observatory Network)","AmeriFlux FLUXNET-1F US-xYE NEON Yellowstone Northern Range (Frog Rock) (YELL), Ver. 3-5","2023","AmeriFlux AMP","10.17190/AMF/1985459","http://doi.org/10.17190/AMF/1985459","NEON (National Ecological Observatory Network) (2023), AmeriFlux FLUXNET-1F US-xYE NEON Yellowstone Northern Range (Frog Rock) (YELL), Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1985459"
