#downloadDate:20231101135859
#numberOfSitesDownloaded:27
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp
US-xDS,AMF_US-xDS_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140509
US-xDS,AMF_US-xDS_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140509
US-xDS,AMF_US-xDS_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140509
US-xGR,AMF_US-xGR_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202305151127
US-xGR,AMF_US-xGR_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202305151127
US-xGR,AMF_US-xGR_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305151127
US-xGR,AMF_US-xGR_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305151126
US-xGR,AMF_US-xGR_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305151127
US-xGR,AMF_US-xGR_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305151127
US-xGR,AMF_US-xGR_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305151127
US-xHA,AMF_US-xHA_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140349
US-xHA,AMF_US-xHA_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140349
US-xHA,AMF_US-xHA_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140349
US-xHA,AMF_US-xHA_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140349
US-xHA,AMF_US-xHA_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140349
US-xHA,AMF_US-xHA_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140349
US-xHA,AMF_US-xHA_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140349
US-xHE,AMF_US-xHE_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140247
US-xHE,AMF_US-xHE_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140247
US-xHE,AMF_US-xHE_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140247
US-xHE,AMF_US-xHE_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140247
US-xHE,AMF_US-xHE_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140247
US-xHE,AMF_US-xHE_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140247
US-xHE,AMF_US-xHE_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140247
US-xJE,AMF_US-xJE_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306132245
US-xJE,AMF_US-xJE_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306132245
US-xJE,AMF_US-xJE_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306132245
US-xJE,AMF_US-xJE_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306132245
US-xJE,AMF_US-xJE_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306132245
US-xJE,AMF_US-xJE_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306132245
US-xJE,AMF_US-xJE_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306132245
US-xKA,AMF_US-xKA_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140645
US-xKA,AMF_US-xKA_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140645
US-xKA,AMF_US-xKA_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140645
US-xKA,AMF_US-xKA_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140645
