TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170111,18.023,0.0,223.169,89.507,0.0,364.939,0.0,4.098,0.0,101.9,0.0,0.899,0.0,3.485,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,32.1959,-9999,-9999,-9999,49.8377,-9999,60.5842,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,3.3652,3.35358,3.36457,3.37367,-0.145648,-0.281846,-0.132505,-0.112991,3.72435,3.66546,3.72775,3.76024,0.218465,0.192476,0.210549,0.219693,-9999,-9999
20170112,18.941,0.0,224.311,122.067,0.0,359.239,0.0,5.15,0.0,102.142,0.0,0.022,0.0,2.611,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,29.8997,-9999,-9999,-9999,54.2578,-9999,65.9573,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,3.51117,3.49297,3.51016,3.52124,-0.4241,-0.598326,-0.442298,-0.423911,3.84952,3.78984,3.85357,3.89111,0.246545,0.211842,0.233548,0.247925,-9999,-9999
20170113,18.602,0.0,225.506,127.123,0.0,357.014,0.0,4.436,0.0,102.661,0.0,0.033,0.0,1.39,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.4606,-9999,-9999,-9999,55.4355,-9999,67.389,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,3.45956,3.44338,3.45867,3.46913,-0.164083,-0.310559,-0.18026,-0.164083,3.80381,3.74447,3.80779,3.84291,0.246875,0.21152,0.233303,0.248255,-9999,-9999
20170114,16.431,0.0,226.749,141.709,0.0,333.341,0.0,4.865,0.0,102.632,0.0,0.0,0.0,1.008,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,32.2727,-9999,-9999,-9999,49.8377,-9999,60.1609,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,3.13687,3.12954,3.13664,3.14066,-0.373984,-0.517741,-0.347936,-0.343463,3.51488,3.45779,3.51488,3.5487,0.260735,0.221382,0.244619,0.262191,-9999,-9999
20170115,15.523,0.0,228.043,112.344,0.0,345.737,0.0,4.647,0.0,102.15,0.0,0.002,0.0,1.175,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,29.6756,-9999,-9999,-9999,54.2578,-9999,65.1673,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,2.99986,2.99186,2.99994,3.00209,-0.935409,-1.12157,-0.93572,-0.934045,3.39378,3.33757,3.39378,3.42638,0.240735,0.20861,0.22961,0.242083,-9999,-9999
20170116,18.018,0.0,229.384,90.349,0.0,359.875,0.0,4.798,0.0,101.825,0.0,0.377,0.0,2.39,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.2688,-9999,-9999,-9999,55.4355,-9999,66.6828,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,3.36772,3.35562,3.36705,3.37629,-0.255925,-0.407551,-0.268023,-0.255925,3.72472,3.66589,3.72847,3.76062,0.22822,0.201468,0.220253,0.229504,-9999,-9999
20170117,20.387,0.0,230.775,96.638,0.0,382.761,0.0,5.087,0.0,101.722,0.0,0.551,0.0,2.668,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,32.0972,-9999,-9999,-9999,49.8377,-9999,60.0198,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,3.73733,3.70941,3.73578,3.74979,0.226474,0.106786,0.231653,0.264171,4.04572,3.98472,4.05156,4.09869,0.224876,0.197202,0.216128,0.226139,-9999,-9999
20170118,18.51,0.0,232.213,45.785,0.0,390.92,0.0,2.537,0.0,101.662,0.0,0.832,0.0,1.398,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,29.7535,-9999,-9999,-9999,54.2578,-9999,65.4043,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,3.43295,3.4194,3.43221,3.44192,-0.502317,-0.68109,-0.515866,-0.502177,3.788,3.72852,3.79193,3.82484,0.155164,0.146027,0.155311,0.158751,-9999,-9999
20170119,18.227,0.0,233.697,37.573,0.0,392.61,0.0,1.932,0.0,100.954,0.0,12.594,0.0,2.523,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.4553,-9999,-9999,-9999,55.4355,-9999,67.138,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,3.38954,3.37774,3.3889,3.39808,-0.234098,-0.386102,-0.245902,-0.234098,3.74976,3.69056,3.75362,3.7859,0.138121,0.130646,0.138909,0.143397,-9999,-9999
20170120,18.85,0.0,235.228,99.498,0.0,376.041,0.0,3.065,0.0,100.588,0.0,1.829,0.0,2.337,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,32.4079,-9999,-9999,-9999,49.8377,-9999,60.5945,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,3.49011,3.47364,3.48921,3.49979,-0.0207387,-0.152046,-0.0158536,0.0133679,3.83528,3.77557,3.8393,3.8753,0.23046,0.201429,0.221104,0.231753,-9999,-9999
20170121,18.443,0.0,236.802,76.357,0.0,385.884,0.0,3.584,0.0,100.146,0.0,22.458,0.0,2.152,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,30.1054,-9999,-9999,-9999,54.2578,-9999,66.2256,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,3.42396,3.4106,3.42323,3.43288,-0.511307,-0.690244,-0.524667,-0.511169,3.77923,3.71985,3.78316,3.81575,0.182992,0.16278,0.177206,0.184021,-9999,-9999
20170122,14.735,0.0,238.422,81.988,0.0,363.821,0.0,1.673,0.0,99.246,0.0,23.745,0.0,2.688,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.8104,-9999,-9999,-9999,55.4355,-9999,67.9257,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,2.86413,2.85514,2.86413,2.87043,-0.759508,-0.921949,-0.761479,-0.751027,3.28251,3.22684,3.28251,3.31399,0.211727,0.189041,0.205611,0.21292,-9999,-9999
