TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2016,9.895,0.085724,196.512,0.0858948,289.892,0.085724,8.571,0.085724,83.293,0.0848702,409.522,0.00757058,4.36,0.0642077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.322,0.0851548,10.6853,0.0,-9999,-9999,8.31861,0.0739982,-9999,0.590202,89.3596,0.0,-9999,87.133,89.3142,89.4956,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2017,10.029,0.992751,190.038,0.991838,292.703,0.984189,8.442,0.992751,83.283,0.983105,426.094,0.0869292,4.614,0.948345,0.25618276321533145,0.923002283105023,70.64789363123133,0.9440639269406392,387.1074361305692,0.9808789954337901,51.555865805238696,0.8916666666666667,67.61711040567123,0.9851598173515983,37.54841585215016,0.9447488584474886,371.9476201978476,0.9486301369863014,411.58,0.600228,11.126,11.257,11.4,11.447,11.651,11.687,11.758,11.896,11.811,0.993721,0.993721,0.993721,0.993721,0.993721,0.993664,0.993721,0.993721,0.993721,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.06677,0.976541,38.0811,0.488413,-9999,0.234311,29.2791,0.867066,-9999,0.212132,-28.0095,0.400228,2.99961,-34.671,-29.9348,-23.9904,0.400342,0.398858,0.391724,527.738,521.258,533.39,640.221,559.999,553.934,567.351,663.618,386.887,366.833,378.831,419.372,525.425,531.482,537.793,540.609,-9999,-9999
2018,9.361,0.959817,193.094,0.959418,288.329,0.949258,8.395,0.95976,83.329,0.948801,431.712,0.146176,4.582,0.906279,0.26594666831185243,0.8795662100456622,70.34221275725464,0.9076484018264841,393.0231886229509,0.9113584474885846,58.25369549941723,0.9113584474885846,65.58592544254925,0.9507990867579907,37.96009745433341,0.908447488584475,371.9694348134911,0.9113013698630137,417.009,0.472603,10.948,11.181,11.484,11.615,11.948,12.007,12.031,12.156,11.966,0.9504,0.950457,0.950342,0.9504,0.9504,0.950342,0.950228,0.95,0.950342,27.026,24.038,29.684,22.506,25.518,7.48,15.746,16.795,5.70776e-05,0.000570776,0.000285388,5.70776e-05,0.000114155,0.0238584,0.000171233,0.0,0.691519,0.944692,24.1801,0.450057,28.1938,0.207664,38.7422,0.689783,45.1731,0.238653,-79.3518,0.291039,4.78426,-87.3806,-84.1621,-80.1745,0.285788,0.281564,0.291667,322.101,309.628,321.635,337.447,410.058,397.082,407.235,418.088,424.693,426.404,555.607,567.051,482.093,430.112,515.956,523.246,-9999,-9999
2019,8.702,0.956507,193.127,0.954623,286.77,0.956678,7.753,0.956393,83.207,0.976199,465.568,0.126826,4.399,0.812671,0.24267065321046039,0.7780821917808219,67.96658727908407,0.9305365296803653,387.5282362131397,0.9352739726027397,64.41459428611628,0.9354452054794521,67.41905312539998,0.9393264840182647,43.251434511864716,0.9327054794520548,368.62751371049063,0.9378995433789955,416.836,0.763984,9.769,9.988,10.317,10.433,10.778,10.883,10.995,11.269,11.126,0.99258,0.99258,0.99258,0.99258,0.99258,0.992466,0.992409,0.992409,0.992352,19.917,37.045,37.314,30.84,34.55,11.138,19.835,17.7,0.564326,0.161872,0.197032,0.394349,0.447032,0.814954,0.813642,0.0104452,0.317045,0.968094,16.901,0.575114,19.7065,0.155558,37.5329,0.783904,43.7629,0.206754,98.5864,0.343322,3.60612,96.766,100.742,104.819,0.324829,0.348345,0.340354,134.749,124.298,128.316,129.503,27.1436,23.6301,24.9685,27.435,236.977,185.295,202.757,232.298,53.2287,3.57,43.1907,70.9976,-9999,-9999
2020,10.105,0.998008,200.093,0.995902,287.111,0.957138,9.764,0.998008,83.3,0.989413,263.416,0.054531,4.729,0.915357,0.25511887456515703,0.8823998178506375,71.11040764419342,0.9194558287795992,400.25323509818577,0.9936247723132968,67.45135974991442,0.9937955373406192,65.54302037960711,0.9939663023679418,44.360099884957215,0.9203096539162112,384.34280568621625,0.9233265027322405,418.631,0.851947,10.857,11.003,11.195,11.24,11.513,11.583,11.623,11.83,11.563,0.998691,0.998691,0.998691,0.998691,0.998691,0.998634,0.998577,0.998577,0.998577,18.944,34.493,37.205,21.257,29.416,31.94,9.872,19.856,0.629838,0.195355,0.0705829,0.0137181,0.434768,0.630237,0.858322,0.850353,-0.0207589,0.928393,21.2936,0.800546,24.8282,0.106477,34.2619,0.822746,39.949,0.175829,87.0376,0.696551,1.10885,81.3043,87.0376,90.7179,0.710326,0.696551,0.690232,150.039,146.526,150.328,154.702,63.7179,55.1755,64.1897,67.9349,334.486,289.87,305.461,327.62,94.2854,86.6368,90.7579,95.0747,-9999,-9999
2021,9.964,0.998916,196.933,0.995434,291.881,0.955479,9.112,0.998916,83.271,0.990639,347.239,0.046347,4.471,0.979452,0.24996314182253923,0.9527397260273973,70.94376422832762,0.9154680365296803,407.4318957708009,0.994634703196347,69.72901746870556,0.9962899543378995,66.94891715351793,0.9947488584474885,47.03855588634228,0.9168378995433791,383.73604828474,0.9197488584474885,421.736,0.897546,10.73,10.854,10.984,10.958,11.137,11.135,11.201,11.576,11.437,0.9996,0.9996,0.999543,0.999486,0.999486,0.999486,0.999486,0.999429,0.999429,-9999,-9999,-9999,-9999,-9999,28.286,10.383,20.764,-9999,-9999,-9999,-9999,-9999,0.00165525,0.000285388,0.000285388,0.372403,0.997032,24.9167,0.970776,32.4248,0.125316,25.817,0.982648,33.5964,0.176387,-22.4535,0.834189,1.58833,-23.2517,-20.7997,-18.1679,0.835959,0.775114,0.765696,295.196,267.058,281.484,294.76,315.79,290.808,302.296,313.583,340.942,299.161,307.811,326.234,345.278,330.373,340.619,348.339,-9999,-9999
